"Story","Title","Result","Date","Stability","Duration (s)"
"Compra E2E en SauceDemo","Flujo completo de compra","ERROR","2025-10-04T13:01:23.0689716-05:00[America/Guayaquil]","0.0","0.05"
"Compra E2E en SauceDemo","Flujo completo de compra","SUCCESS","2025-10-04T13:28:25.8957058-05:00[America/Guayaquil]","0.0","4.11"
